[00:00:01,701] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,705] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,708] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,711] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,720] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,726] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,744] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,749] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,804] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,818] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,837] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,845] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,860] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,865] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
[00:00:01,868] INFO  {StunClient} Setting timeout for establishing Nat Type as: 90000
